Keyword	Frequency	Score
Luxusauto	1	4
Loft	1	-3
Stube	1	8
Platzanlage	1	-8
Osterunruhen	1	-5
Studentenbewegung	1	-2
Eingangshalle	1	4
Rebellion	1	7
Kontrollebetrieb	1	-2
Falschparken	1	-2
Einnahmenverlust	1	9
Verlagshaus	1	-6
Sturm	1	-8
Steuermarke	1	4
Unterrichtszeit	1	3
Bildungsverwaltung	1	-4
Pausenklingel	1	-3
Gebetsraum	1	-3
Gerichtsentscheidung	1	5
Schulgewalt	1	-3
Korkot	1	0
Nutzungsstreit	1	9
Querele	1	7
Lernanstalten	1	-6
Rker	1	4
Jugendgruppengewalt	1	9
Terrorgefahr	1	2
Brandnest	1	1
Brandort	1	-8
Werbeverbot	1	-5
Drogenbericht	1	10
Besinnungslosigkeit	1	8
Tankstelle	1	1
Strategiepapier	1	-10
Alkoholverkauf	1	-10
Tabakprodukt	1	-7
Freizeiteinrichtung	1	10
Expansion	1	-7
Autoscheibe	1	7
Lebensunterhalt	1	9
Sportarena	1	8
Verkehrskollaps	1	-5
Zubringer	1	0
Rauchschwaden	1	9
Bahnkunde	1	-7
Hallenliga	1	-2
Schlagernacht	1	-6
Konzertbereich	1	7
Lnarena	1	1
Veranstaltungsart	1	-9
Brachlandschaft	1	-9
Elefantentor	1	-8
Laderampe	1	-2
Alkoholika	1	10
Handyortung	1	9
Raub	1	2
Videomaterial	1	-2
Ernstfall	1	-3
Spezialkommando	1	7
Mauerzeit	1	9
Protestszene	1	9
Strukturprojekt	1	1
Abhilfe	1	-10
Voraussetzung	1	-6
Tabak	1	7
Passivrauchen	1	-8
Taxis	1	-8
Jugendschutzkampagne	1	0
Alkoholvergiftung	1	-9
Gesundheitsverwaltung	1	6
Schulalarm	1	-5
Nachtstreife	1	-2
Fahrkartenautomat	1	10
Informationstafel	1	-5
Lebensader	1	5
Haupteingang	1	-7
Flugbetrieb	1	9
Grillfeuer	1	6
Hexe	1	-9
Augenlicht	1	1
Platzverweis	1	-8
Polizeigewahrsam	1	-9
Videoã	1	3
Berwachung	1	-10
Berwachungskamera	1	6
Blissestraã	1	6
Glutherd	1	-3
Klimaschutzbedenken	1	2
Nstlerhaus	1	-5
Bethanien	1	0
Alternativeszene	1	0
Reinlichkeit	1	-3
Reinigungskolonne	1	-5
Darã	1	-3
Megaarena	1	7
Drogenring	1	5
Computerpanne	1	-1
Septemberwoche	1	-3
Terminkalender	1	2
Tournee	1	2
Werbeplakat	1	7
Studentenfã	1	-1
Filmprojekt	1	1
Geschwã	1	10
Verletzung	1	2
Chemielabor	1	-1
Schulferien	1	8
Vorliebe	1	-6
Mordopfer	1	0
Verfilmung	1	8
Gullydeckel	1	4
Rückkauf	1	-6
Inselserie	1	-4
Fluglã	1	-9
World cup 2014-Empfang	1	4
Fluglärm	1	8
Personalwechsel	1	-7
Trümmer	1	-5
Tretboot	1	1
Greenwichpromenade	1	-3
Erscheinungsbild	1	6
Bungalow	1	-4
Zwangsrã	1	-1
Umung	1	2
Zwangsräumung	1	-9
Computerspielemesse	1	7
Betonwerk	1	7
BBI - Airport	1	-1
Personalausgabe	1	-7
Arbeitsamt	1	2
Dachmarke	1	1
Olympiabewerbung	1	1
Sportevent	1	9
Wette	1	-1
Minutentakt	1	4
Knall	1	-7
Tinnitus	1	5
Lärmtrauma	1	-6
Chewy	1	-8
Schreckensnacht	1	7
Schwã	1	8
Turmblase	1	-2
Eichborndamm	1	-7
Franzã	1	5
Zertifikat	1	-8
Pferdewirtin-Freispruch	1	-4
Ermittlungsfehler	1	9
Pferdewirtin-Anklage	1	-8
Rdert	1	2
Gesobau	1	5
Neubaufonds	1	3
Versorgungsunterbrechung	1	-8
Straßenzug	1	3
Umbruch	1	0
Pumpe	1	8
Abgeschiedenheit	1	-7
Schnitzeler	1	6
Flughafen tegel-Anwohner	1	-7
Deckeneinsturz	1	5
Normalbetrieb	1	-7
Terminkunde	1	-4
Terminvergabe	1	-8
Terminvereinbarung	1	-3
Anmietung	1	-6
Lder	1	-9
Kampagne	1	6
M13	1	-1
Ansã	1	4
Ssig	1	0
Familienbetrieb	1	-4
Wirtschaftsleben	1	-4
Rezeptur	1	4
Atapour	1	-5
Schaumzucker	1	6
Reiswerdere	1	-10
Panamahut	1	-10
Hawaiihemd	1	-7
Wasserschaden	1	-6
Quarantäne	1	4
Tzlich	1	-5
Dafã	1	7
Hauptportal	1	1
Autoknacker	1	0
Benã	1	-2
Kinderwald	1	3
Pflegebedã	1	-7
Rftige	1	8
Empã	1	6
Petruswerk	1	-1
Altersspirale	1	0
Ampelschaltzeit	1	6
Ltestes	1	-5
Schollenfest	1	-1
Ndigungsschutz	1	2
Hausdurchsuchung	1	-9
Kanonenhalle	1	-2
Schulprojekt	1	7
Immobilienpreis	1	-6
Schulschwã	1	-2
Nzer	1	0
Maã	1	1
Nder	1	8
Computerspiel	1	1
Datenaustausch	1	-9
Amã	1	10
Zeitbombe	1	-3
Kindstod	1	3
Hirnverletzung	1	-6
Arbeitsplã	1	-8
Ftigung	1	8
Arbeitsplatz	1	-9
Jobaussicht	1	8
Quartalsstudie	1	-10
Manpower	1	-1
Ftigten	1	-7
Produtkion	1	-9
Sexualstraftã	1	6
Dchen	1	-8
Umkreis	1	1
Strafrichter	1	6
Tatzeit	1	6
Blutvergiftung	1	-5
Hilfeschrei	1	2
Steuerpflichtigen	1	-4
Finanzverwaltung	1	8
Steuer	1	-8
Besuchsrecht	1	-8
Ltere	1	-7
Gegenleistung	1	-8
Daumenschraube	1	-1
Lehrstelle	1	-3
Bildungsniveau	1	-1
Erwerbstã	1	3
Tigen	1	3
Bildungssystem	1	0
Absatzprobleme	1	-4
Mahnmal	1	7
Stelenfeld	1	0
Eisenman	1	-5
Friedrichswerderscher	1	-4
Friedrichswerderschen	1	-3
Schinkelplatz	1	-8
Museumsâ	1	9
Museumâ	1	-1
Planmã	1	8
Geã	1	1
Querbahnsteig	1	-2
Drogenszene	1	-4
Hecke	1	1
Rehberg	1	-8
Mufflon	1	7
Stadtbezirk	1	-7
Rperweltenâ	1	-5
Unverstã	1	-5
Uniklinik	1	8
Richtkrone	1	6
Intensivmedizin	1	8
Bettenhochhaus	1	-8
Zwangsgeld	1	9
Vorzeigebau	1	-7
Kulturforum	1	10
Verlã	1	-4
Feiren	1	-1
Silvesterparty	1	4
Aufbauarbeit	1	0
Akutsprechstunde	1	9
Kinderarztpraxis	1	-4
Fieber	1	-1
Centrum	1	-4
Gelen	1	9
Klavierbauer	1	6
Installation	1	-8
Elternberatung	1	4
Insolvenzverschleppung	1	-2
Invalidenstraã	1	4
Ursprã	1	-7
Baustelleneinrichtung	1	7
Adventssonntag	1	-4
Weihnachtskugel	1	6
Notaufnahme	1	5
Erstaufnahmeeinrichtung	1	9
Zuteilungsstopp	1	6
Pannenflughafen	1	10
Hindernisparcours	1	7
Leichenschau	1	5
Sockelgeschoß	1	2
Fahrradstellplã	1	1
Tzeâ	1	2
Brauhaus	1	5
Reizgas	1	1
Gewaltausbruch	1	-4
Körperverletzung	1	6
Nordbahnhof	1	3
Herbstferien	1	6
Mathematik	1	1
Ferienschule	1	-6
Wassereinbruch	1	3
Unterkirche	1	-1
Radtour	1	-9
Funkwagen	1	9
Bushaltestelle	1	-2
Theater-Kã	1	3
Tierarzneischule	1	-9
Gymnasium	1	4
Abwasserharke	1	3
Tiersammelstelle	1	-5
Luxusmodernisierung	1	-6
Bezirk	1	-9
Ffnungstermin	1	-4
Nftigen	1	6
Friedensgebet	1	0
Hungerstreik	1	6
Wohnungsnachfrage	1	-6
Leopoldplatz	1	-8
Anwohnerprotest	1	7
Gesundheitsamt	1	-7
Luxusresort	1	1
Fitnessbereich	1	-8
Havarie	1	5
Hexenkessel	1	9
Hoftheater	1	-3
Neubauprojekt	1	-8
Riss	1	-3
Manschette	1	9
Gasturbine	1	1
Koloss	1	-10
Rekordzeit	1	-8
Gasturbinenwerk	1	1
Fchenalarm	1	-7
Dom-Streicheln	1	-2
Kindergottesdienst	1	8
Parkgebã	1	3
Stadtspree	1	-5
Eisfabrik	1	-8
Kreativwirtschaft	1	8
Nestschaukel	1	4
Sportpark	1	-7
Sportareal	1	2
Eiszapfen	1	-2
Tauwetter	1	3
Taut	1	4
Sonnabendmittag	1	9
Chster	1	-5
Wohnhochhaus	1	0
Stadtschloss	1	5
Behinderung	1	-4
Missbrauchsopfer	1	7
Gemeindehaus	1	-5
Seestraã	1	-9
Gleisbett	1	-9
Utiger	1	-2
Rgeramt	1	-8
Zahlungsverkehr	1	8
Vereinsheim	1	-7
Rockergruppen	1	-5
Rockergruppe	1	9
Glaskugel	1	5
Polizeihelikopter	1	-7
Hubschrauber	1	6
Polizeihubschrauber	1	-3
Instandsetzung	1	5
Bethlehemskirche	1	5
Mauerstraã	1	-1
Stahlkonstruktion	1	6
Versuchsanstalt	1	-7
Wasserbau	1	-4
Schiffbau	1	-9
Architekturgeschichte	1	3
Lichterglanz	1	-6
Vorweihnachtszeit	1	8
Einstiegspreis	1	-3
Archã	1	-5
Ologische	1	0
Zukã	1	-6
Steinschmuck	1	-2
Sarkophag	1	3
Baustaub	1	-4
Dampfmaschine	1	9
Schnute	1	7
Spiderman	1	8
Fruchthof	1	4
Hochbetrieb	1	5
Feiertag	1	-8
Schmuckstein	1	-4
Sonderausstellung	1	3
Ologe	1	5
Zwinger	1	-5
Geburtstag	1	-1
Zement	1	0
Architektenwettbewerb	1	-9
Wettbewerbsrunde	1	-6
Natursteinfassade	1	5
Muschelkalk	1	0
Untergeschoss	1	4
Kellerbrand	1	-9
Ballhaus	1	7
Friedrichstraã	1	-9
Sicherungsarbeit	1	6
Deckenteilen	1	6
Absturz	1	-3
Webcam	1	-1
Echtzeit	1	6
Baufortschritt	1	2
Chausseestraã	1	-7
Interimsbau	1	0
Kernsanierung	1	-2
Bettenhaus	1	4
Landesverkehrswacht	1	5
Drogenmilieu	1	3
Grillverbot	1	-8
Glasflasche	1	7
Marstall	1	8
Schlossbaustelle	1	4
Mauerwerk	1	-1
Asylbewerberleistungsstelle	1	5
Sicherheitsvorkehrung	1	2
Komasaufen	1	-4
Dampfschifffahrt	1	4
Schleppdampfer	1	9
Ehrenamtliche	1	-8
Zinke	1	-2
Dampfschlepper	1	-8
Rennwagen	1	-7
Rennserie	1	-2
Austragungsort	1	-5
Motorsport	1	3
Ponton	1	-9
Tauchhelm	1	8
Freiherr	1	-3
Betonsohle	1	6
Schulweg	1	-6
Einschulungsbereich	1	-10
Einzugsbereich	1	2
Zuschnitt	1	5
Denkmã	1	-1
Baupleite	1	-7
Entree	1	-5
Spendensammler	1	-3
Eifersuchtsszene	1	-5
Volksaufstand	1	9
Meiã	1	2
Elwerkzeugen	1	-5
Findling	1	9
Spritzbesteck	1	-1
Drogenutensil	1	-3
Spritze	1	2
Zurechtstutzen	1	-6
Polizei-Zehnjã	1	1
Suchaktion	1	1
Downsyndrom	1	-3
Mutmaã	1	-4
Immobilienentwickeler	1	5
Immobilienverwaltungsgesellschaft	1	7
Tunnelbohrer	1	7
Schildvortriebsmaschine	1	5
Tunnelbau	1	2
Einzelteil	1	0
Drehkran	1	-6
Beschleunigung	1	-10
Sonderschau	1	-9
Kommunikation	1	5
Atelierhaus	1	-5
Bunker	1	1
Turmhochhaus	1	-1
Markenrechte	1	2
Autolaster	1	10
Sattelschlepper	1	-4
Infarkt	1	-9
Arbeitskreis	1	-10
Europacity	1	6
Unternehmenszentrale	1	-7
Renzwinger	1	3
Nachspiel	1	2
Besetzung	1	1
Fertigteil	1	8
Dreibettzimmer	1	-3
Hingucker	1	7
Rathausâ	1	-8
Patientenzimmer	1	5
Parametrische	1	-4
Lutherdenkmal	1	-3
Marienkirche	1	6
Eingangsseite	1	-8
Nordseite	1	-6
Winterruhe	1	-5
Parkordnung	1	2
Spielhallengesetz	1	0
Bronzedenkmal	1	6
Verkaufsentscheidung	1	-5
Bierbike	1	6
Casino	1	5
Sozialkonzept	1	4
Llmenge	1	-8
Gelattacke	1	6
Renanlage	1	-3
Infoturm	1	5
Einblick	1	7
Kauz	1	-7
Gefieder	1	-8
Greifvogelfelsen	1	5
Schnabel	1	0
Voliere	1	2
Daunenkleid	1	4
Energiebedarf	1	4
Akademie	1	-4
Hanseatenweg	1	-6
Entwã	1	6
Nnliche	1	8
Begrã	1	-4
Nationalgalerie	1	8
Chigen	1	-3
Hoffnungsvolle	1	-5
Gedenkveranstaltung	1	8
Glichkeit	1	-8
Freiheitsrechte	1	9
Kinobau	1	-3
Innenstadtbezirk	1	-6
Vorderfront	1	1
Putz	1	-8
Anschlieã	1	4
Malerarbeit	1	-9
Eileantrag	1	-3
Besucheransturm	1	-1
Heilquelle	1	7
Plumpe	1	-5
Wohnidyll	1	1
Bewirtschaftungszeit	1	-7
Innengehege	1	-2
Erdbeben	1	-1
Langeweileigen	1	-7
Entdeckung	1	-6
Staatsoper	1	8
Zuschauersaal	1	9
Architekturwettbewerb	1	6
Spritpreis	1	2
Regierungstreffen	1	-7
Steuermodell	1	5
Abfindung	1	5
Betonstele	1	5
Einweihung	1	7
Sanierungsmethode	1	-7
Reparaturarbeit	1	-6
Gedenkquader	1	-5
Beratungsresistenz	1	8
Sentanz	1	9
Brandeburger	1	1
Nationalfeiertag	1	-6
Fahrradverkehr	1	4
Wiederentdeckung	1	-1
Radler	1	-1
Opernstiftung	1	5
Bildungspolitik	1	7
PISA-Studie	1	-6
Untergewicht	1	4
Monatssatz	1	4
Kartoffelbrei	1	7
Userfront	1	3
Gebot	1	-8
Hausbesetzung	1	3
Hauptstadtvertrag	1	-7
Sicherheitsausgabe	1	-2
Hauptstadtfinanzierung	1	2
Zusage	1	-6
Wachsfigur	1	6
Ableger	1	-1
Preiskampf	1	1
Winkel	1	-4
Meisterwerk	1	-7
Ersatzspielort	1	-4
Konzertsaison	1	-4
Freikarte	1	6
Konzertabend	1	-2
Pressestimme	1	8
Konzerthaus	1	4
Gelbe	1	-1
Spielkonsole	1	0
Videospiel	1	-9
Mathe	1	1
Zuschauerraum	1	8
Barockfassade	1	4
Autodiebstahl	1	5
Fanmeile	1	1
Gedenkparty	1	-7
Protestkundgebung	1	-2
Massaker	1	7
Genaue	1	0
Luxusbauprojekt	1	6
Buddhismus	1	0
Kleidertausch	1	0
Riesenerfolg	1	-10
Modermarke	1	1
Modeladen	1	-1
Kindertransport	1	6
Unterhaltungswert	1	10
Mitfeiern	1	-9
Amerikafest	1	8
Diplomatenviertel	1	-4
Planungspanne	1	1
Untersuchungsausschuss	1	-1
Irak-Krieg	1	-8
Bernacht	1	1
Kaiserhã	1	5
Udegruppe	1	-1
Publikumsmagnet	1	-5
Bankenskandal	1	-6
Wachsfigurenkabinett	1	-7
Figur	1	-1
Wortlaut	1	4
Dachbrand	1	-4
Inspektion	1	2
Aktionstag	1	9
Pedal	1	-9
Sternfahrt	1	-2
Autofahren	1	4
Tortur	1	1
Fahrradclub	1	-4
Innenarchitektur	1	9
Dacharbeit	1	-5
Schwelbrand	1	-10
Pilgerort	1	-4
Kupfergraben	1	-10
Sportwagen	1	6
Sst	1	-1
Besichtigung	1	8
Wohnungssuche	1	0
Milchflasche	1	8
Zob	1	9
Kinderprojekt	1	-3
Waldbã	1	-4
Schaukel	1	-4
Geschäftszentrum	1	-3
Freianlage	1	-6
Vordergrund	1	-2
Kugel	1	-5
Fotorradar	1	6
Fassadengestalt	1	5
Weihnachtsdekoration	1	3
Palais	1	2
Verzögerung	1	4
Bahnlinie	1	-10
Konstruktion	1	-4
Eissporthalle	1	-3
Kellnerlauf	1	-1
Kranzlereck	1	7
Bierglas	1	3
Verzaubern	1	-1
Hollywoodfilmsetting	1	5
Industriefenster	1	5
Designkamin	1	0
Ledersessel	1	-9
Wintergarten	1	5
Ttin	1	5
Gerechtigkeitsbrunnen	1	8
Terrasse	1	-9
Buchs	1	-3
Buchvorstellung	1	4
Flatterband	1	3
Rgert	1	-8
Geschäftsfrau	1	-5
Kantstraße	1	-9
Absicherung	1	-9
Polizeiaufsicht	1	-5
Autobauer	1	3
Hortgebäude	1	9
Auslagerung	1	0
Verkehrsplatz	1	7
_-Unklarheit	1	0
Eröffnungstermin	1	-3
A115	1	-1
Stahlfachwerk	1	-2
Markthalle	1	-2
Luxusladen	1	-3
Schlüterstraße	1	2
Jahresende	1	-4
Kuckuck	1	-3
Kulturbrauerei	1	4
Maintrailer	1	9
Täterspur	1	0
Podiumspaten	1	1
Familientradition	1	-4
Steuerkanzlei	1	8
Leistikowstraße	1	-8
Gedächtniskirche	1	0
Bedürftige	1	-9
Pfand	1	10
Sparmaßnahme	1	-6
Lp00	1	-6
Anordnung	1	10
Schlüsselübergabe	1	-9
Gerüst	1	-3
Aufwertung	1	4
Ballymore	1	9
Kudammbuhnen	1	-1
Bezirksstadtrat	1	-4
Platte	1	-8
Vereinswappen	1	-3
Jacke	1	-7
Durchstylen	1	-1
Leuchtturm	1	0
Enthã	1	-5
Llten	1	-8
Dreiecksform	1	2
Kleingartenanlage	1	-7
Chormusik	1	-2
Polizeifahrrad	1	9
Fahrradstreife	1	1
Flirt	1	6
Yogi	1	4
Kampfhund	1	-2
Maulkorb	1	10
Zoll	1	8
Rolladen	1	3
Enkunst	1	7
Straßenkunst	1	4
Lifestyle	1	9
Kampftrinken	1	6
Haupthalle	1	-7
Clublokal	1	-8
Krebsaktionstag	1	5
Einhandmesser	1	-7
Osterprotest	1	6
Ostern	1	9
Carrier	1	-8
Wirtschaftsmotor	1	8
Leichenfund	1	-8
Flak	1	6
Liche	1	1
Bauabschnitt	1	10
Ckerpaar	1	1
Wilhelmsaue126	1	-7
Chersammelung	1	0
Gartenlokal	1	-7
Mannequin	1	7
Schaubã	1	-9
Rstendamm153	1	-8
Kulturleben	1	10
Hinterzimmer	1	-9
Digitalfunk	1	-4
Filmarchiv	1	1
Bundesarchiv	1	9
Landesverwaltungsamt	1	-8
Auswirkungsanalyse	1	-9
Birne	1	4
Eschenallee	1	6
Mietepreis	1	5
Chstpreise	1	-6
Umzugskarton	1	-7
Ausschreibung	1	8
Kammergericht	1	-7
Senatssportverwaltung	1	4
Bustoilette	1	1
Fernbus	1	0
Ngel	1	8
Alsterhof	1	0
Sportverwaltung	1	7
Auslaufgebiet	1	7
Hundetourismus	1	5
Busbahnhof	1	8
Weihnachtsreiseverkehr	1	7
Pelzverarbeitung	1	3
Haltestelle	1	-6
Nchen	1	5
Berlinâ	1	2
Musiktheaterinszenierung	1	2
Udeensemble	1	0
Portfolioausschuß	1	5
Magendrehung	1	1
Notoperation	1	8
Waldgebiet	1	1
Karussell	1	-7
Bratwurst	1	-7
Geschmã	1	9
Vorgeschmack	1	-10
Lichterkette	1	-9
Eintritt	1	-5
Sonnabendnachmittag	1	2
Gedã	1	-2
Schaustellerverband	1	-10
Netzwerk	1	0
Karree	1	-1
Weihnachtswerkstatt	1	-9
Wohlfahrt	1	6
Festdekoration	1	-1
Novembertemperatur	1	8
Fassadenentwurf	1	8
Schmã	1	3
Eislaufbahn	1	-10
Advent	1	9
Bikini	1	8
Nachkriegsbau	1	-7
Grundwasser	1	7
Teufelsberg	1	-5
Frauenrechtlerin	1	5
Carrã	1	-4
Hardenbergâ	1	-3
Swilliger	1	-9
Scherz	1	9
Kindersport	1	5
Familiensport	1	-2
Gesundheitssport	1	-9
Glockenturmstraße	1	-7
Kursraum	1	-8
Wiedereröffnen	1	1
Imbisswagen	1	-5
Wohnwagen	1	2
Testphase	1	-6
Tablett	1	0
Cannabisgeruch	1	-7
Wohnungsdurchsuchung	1	0
Tortenformat	1	8
Seidenbespannung	1	8
Goldgelb	1	-2
Exotisch	1	7
Chtniskirche-Turmruine	1	0
Hauch	1	2
Disko	1	-5
Messerangriff	1	10
Schmuddelecke	1	9
Radlegende	1	-1
Kunstwettbewerb	1	1
Verkehrskanzel	1	7
Rzeste	1	-9
Nner	1	9
Elektroschocker	1	5
Einschrã	1	7
Europaparlament	1	5
Abtransport	1	-6
Frist	1	-6
Wahrnehmung	1	9
Umfeld	1	2
Universitã	1	-9
Umlauftank	1	0
Schiffsschraube	1	-10
Farbton	1	-1
Rohrschleife	1	-1
Babykleidung	1	9
Sprengstoff	1	-7
Tribã	1	2
Steilekurve	1	7
Rennfahrer	1	6
Treue	1	2
Fastfood	1	-5
Obdachlosigkeit	1	-3
Komplettcheck	1	2
Fenstersturz	1	3
Scharnier	1	4
Mieteschuld	1	8
